timestamp;id;gender;age;group
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;3;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;2;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
14;1;0;2;1
