id;X;Y;Z;dist1;dist2;dist3
105;0.593343;0;4.932842;16.77;12.54;25.31
106;0.593343;0;4.679371;16.76;12.53;25.31
107;0.593343;0;4.425901;16.76;12.53;25.31
108;0.593343;0;4.172431;16.76;12.53;25.31
109;0.593343;0;3.918961;16.76;12.53;25.31
110;0.593343;0;3.66549;16.77;12.54;25.31
111;0.593343;0;3.41202;16.78;12.55;25.31
112;0.593343;0;3.15855;16.79;12.57;25.31
113;0.593343;0;2.90508;16.81;12.6;25.31
114;0.593343;0;2.65161;16.83;12.63;25.31
115;0.593343;0;2.398139;16.86;12.66;25.31
116;0.593343;0;2.144669;16.89;12.7;25.31
117;0.593343;0;1.891199;16.92;12.74;25.31
118;0.593343;0;1.637729;16.96;12.79;25.31
119;0.593343;0;1.384259;17;12.85;25.31
120;0.593343;0;1.130788;17.04;12.9;25.31
121;0.593343;0;0.877318;17.09;12.97;25.31
122;0.593343;0;0.623848;17.14;13.03;25.31
123;0.593343;0;0.370378;17.2;13.1;25.31
124;0.842711;0;7.974484;16.92;12.82;25.06
125;0.842711;0;7.721014;16.86;12.75;25.06
126;0.842711;0;7.467544;16.81;12.68;25.06
127;0.842711;0;7.214073;16.77;12.62;25.06
128;0.842711;0;6.960603;16.73;12.57;25.06
129;0.842711;0;6.707133;16.69;12.52;25.06
130;0.842711;0;6.453663;16.65;12.47;25.06
131;0.842711;0;6.200193;16.62;12.43;25.06
132;0.842711;0;5.946722;16.59;12.39;25.06
133;0.842711;0;5.693252;16.57;12.36;25.06
134;0.842711;0;5.439782;16.55;12.33;25.06
135;0.842711;0;5.186312;16.53;12.31;25.06
136;0.842711;0;4.932842;16.52;12.3;25.06
137;0.842711;0;4.679371;16.51;12.28;25.06
138;0.842711;0;4.425901;16.51;12.28;25.06
139;0.842711;0;4.172431;16.51;12.28;25.06
140;0.842711;0;3.918961;16.51;12.28;25.06
141;0.842711;0;3.66549;16.52;12.29;25.06
142;0.842711;0;3.41202;16.53;12.31;25.06
143;0.842711;0;3.15855;16.54;12.32;25.06
144;0.842711;0;2.90508;16.56;12.35;25.06
145;0.842711;0;2.65161;16.59;12.38;25.06
146;0.842711;0;2.398139;16.61;12.41;25.06
147;0.842711;0;2.144669;16.64;12.45;25.06
148;0.842711;0;1.891199;16.67;12.5;25.06
149;0.842711;0;1.637729;16.71;12.55;25.06
150;0.842711;0;1.384259;16.75;12.6;25.06
151;0.842711;0;1.130788;16.8;12.66;25.06
152;0.842711;0;0.877318;16.85;12.72;25.06
153;0.842711;0;0.623848;16.9;12.79;25.06
154;0.842711;0;0.370378;16.95;12.87;25.06
155;1.092079;0;7.974484;16.67;12.58;24.81
156;1.092079;0;7.721014;16.62;12.51;24.81
157;1.092079;0;7.467544;16.57;12.44;24.81
158;1.092079;0;7.214073;16.52;12.38;24.81
159;1.092079;0;6.960603;16.48;12.32;24.81
160;1.092079;0;6.707133;16.44;12.27;24.81
161;1.092079;0;6.453663;16.41;12.22;24.81
162;1.092079;0;6.200193;16.37;12.18;24.81
163;1.092079;0;5.946722;16.35;12.14;24.81
164;1.092079;0;5.693252;16.32;12.11;24.81
165;1.092079;0;5.439782;16.3;12.08;24.81
166;1.092079;0;5.186312;16.29;12.06;24.81
167;1.092079;0;4.932842;16.27;12.05;24.81
168;1.092079;0;4.679371;16.26;12.04;24.81
169;1.092079;0;4.425901;16.26;12.03;24.81
170;1.092079;0;4.172431;16.26;12.03;24.81
171;1.092079;0;3.918961;16.26;12.03;24.81
172;1.092079;0;3.66549;16.27;12.04;24.81
173;1.092079;0;3.41202;16.28;12.06;24.81
174;1.092079;0;3.15855;16.3;12.08;24.81
175;1.092079;0;2.90508;16.31;12.1;24.81
176;1.092079;0;2.65161;16.34;12.13;24.81
177;1.092079;0;2.398139;16.36;12.17;24.81
178;1.092079;0;2.144669;16.39;12.21;24.81
179;1.092079;0;1.891199;16.43;12.25;24.81
180;1.092079;0;1.637729;16.47;12.3;24.81
181;1.092079;0;1.384259;16.51;12.36;24.81
182;1.092079;0;1.130788;16.55;12.42;24.81
183;1.092079;0;0.877318;16.6;12.48;24.81
184;1.092079;0;0.623848;16.65;12.55;24.81
185;1.092079;0;0.370378;16.71;12.63;24.81
186;1.341447;0;7.974484;16.43;12.34;24.56
187;1.341447;0;7.721014;16.38;12.27;24.56
188;1.341447;0;7.467544;16.32;12.2;24.56
189;1.341447;0;7.214073;16.28;12.14;24.56
190;1.341447;0;6.960603;16.23;12.08;24.56
191;1.341447;0;6.707133;16.19;12.03;24.56
192;1.341447;0;6.453663;16.16;11.98;24.56
193;1.341447;0;6.200193;16.13;11.93;24.56
194;1.341447;0;5.946722;16.1;11.9;24.56
195;1.341447;0;5.693252;16.07;11.86;24.56
